Materi Perkuliahan	Praktikum
Konsep dan pengantar OOP	-
"- Konsep class; 
- Konsep object/instance; 
- Struktur class di Python; 
- Konsep attribute; instance attribute dan class attribute; 
- Konsep method, instance method; 
- Membuat object; 
- Mengakses attribute dan method; 
- Pemodelan objek dari permasalahan sederhana"	-
"- Visibility Property
- Konsep encapsulation; 
- Public, protected, dan private secara konseptual; 
- Name mangling
- Pengendalian akses attribute; validasi data melalui property"	-
"- Class method
- Static Method
- Konsep Decorator
- Custom decorator
- Chaining decorator
- *args & **kwargs pada decorator
"	Matei Minggu 1-4
"- Konsep inheritance; 
- Parent/base class; 
- Child/derived class; 
- Konsep overriding
- Nested inheritance
- Multiple inheritance"	Materi Minggu 5
"- Abstract Method
- Data Class
- Attribute mutability
- Duck typing
- Structural typing
"	Materi Minggu 6
"- Konsep polymorphism; 
- method overriding; 
- method overloading secara konseptual; 
- association; aggregation; composition; 
- class relationship; 
- pemilihan relationship berdasarkan kebutuhan sistem"	Materi Minggu 7
Materi pertemuan 1-7	-
"- Konsep modular programming; 
- module; import; 
- package; 
- struktur folder project; 
- pemisahan class ke dalam module; 
- reusability; 
- maintainability"	Materi Minggu 9
"- Error dan exception; 
- jenis exception; 
- try-except; 
- multiple exception; 
- else; finally; raise; 
- custom exception; 
- exception handling dalam class"	Materi Minggu 10
"- Konsep file handling; 
- read dan write file; open(); 
- context manager; 
- file CSV; file JSON; 
- serialisasi data sederhana; i
- ntegrasi file handling dengan object"	Materi Minggu 11
"- prinsip dasar GUI; 
- komponen GUI; 
- event handling; 
- integrasi GUI dengan class OOP"	Materi Minggu 12
"- Analisis kebutuhan aplikasi; 
- identifikasi object; i
- dentifikasi class, attribute, dan method; 
- class relationship; class diagram sederhana; 
"	-
"- Implementasi class, 
- encapsulation,
- inheritance/composition sesuai rancangan, 
- polymorphism bila diperlukan, 
- module/package, 
- file handling, 
- integrasi antar-class"	-
"- implementasi GUI; 
- komponen GUI; 
- event handling; 
- integrasi GUI dengan class OOP"	-
"- Demonstrasi aplikasi; 
- presentasi desain OOP; 
- penjelasan class dan relationship; 
- demonstrasi GUI dan fitur; 
- hasil pengujian; 
- refleksi proses pengembangan"	-
